Algorithm,Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Decision Tree,Ensemble-Imbalance,All Features,Balanced Bagging,0.88,0.96,0.81,0.57,0.94,0.82,0.4,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=4,random_state=42),'n_estimators':7,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':4,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.78,0.71,0.84,0.52,0.88,0.83,0.41
Neural Networks,Ensemble-Imbalance,All Features,Balanced Bagging,0.88,0.96,0.8,0.56,0.93,0.82,0.39,BalancedBaggingClassifier,"{'estimator':MLPClassifier(activation='tanh',alpha=0.1,hidden_layer_sizes=30,learning_rate='adaptive',learning_rate_init=0.7,max_iter=2000,random_state=42),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Neural Networks,MLPClassifier,"{'activation':'tanh','alpha':0.1,'batch_size':'auto','beta_1':0.9,'beta_2':0.999,'early_stopping':False,'epsilon':1e-08,'hidden_layer_sizes':30,'learning_rate':'adaptive','learning_rate_init':0.7,'max_fun':15000,'max_iter':2000,'momentum':0.9,'n_iter_no_change':10,'nesterovs_momentum':True,'power_t':0.5,'random_state':42,'shuffle':True,'solver':'adam','tol':0.0001,'validation_fraction':0.1,'verbose':False,'warm_start':False}",0.03,0.82,0.81,0.83,0.55,0.91,0.83,0.42
Random Forest,Ensemble-Imbalance,All Features,Balanced Random Forest,0.87,0.96,0.79,0.55,0.93,0.81,0.38,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':19,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",RandomForest,RandomForest,,0.01,0.81,0.8,0.82,0.53,0.89,0.82,0.4
SVM,Ensemble-Imbalance,All Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.92,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=0.7,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",SVM,SVC,"{'C':0.7,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.42,0.82,0.8,0.84,0.55,0.9,0.83,0.42
Random Forest,Single-Model,All Features,Random Forest,0.87,0.89,0.86,0.6,0.92,0.86,0.46,RandomForestClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':5,'n_estimators':51,'random_state':42}",,,,0.01,0.8,0.72,0.88,0.56,0.9,0.86,0.47
Neural Networks,Single-Model,All Features,Neural Networks,0.87,0.87,0.87,0.61,0.94,0.87,0.47,MLPClassifier,"{'activation':'tanh','alpha':0.3,'hidden_layer_sizes':(23,23,23),'learning_rate':'constant','learning_rate_init':0.7,'max_iter':2000,'random_state':42,'solver':'sgd'}",,,,0.01,0.5,0.27,0.73,0.06,0.64,0.67,0.03
SVM,Single-Model,All Features,SVM,0.86,0.91,0.81,0.55,0.93,0.82,0.39,SVC,"{'C':1,'class_weight':'balanced','gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.04,0.83,0.81,0.85,0.57,0.91,0.84,0.44
k-NN,Ensemble-Imbalance,All Features,Balanced Bagging,0.85,0.85,0.85,0.57,0.9,0.85,0.43,BalancedBaggingClassifier,"{'estimator':KNeighborsClassifier(metric='euclidean',weights='distance'),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",k-NN,KNeighborsClassifier,"{'algorithm':'auto','leaf_size':30,'metric':'euclidean','metric_params':None,'n_jobs':None,'n_neighbors':5,'p':2,'weights':'distance'}",0.19,0.78,0.7,0.85,0.52,0.86,0.83,0.41
Na誰ve Bayes,Ensemble-Imbalance,All Features,Balanced Bagging,0.84,0.85,0.83,0.54,0.9,0.83,0.4,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':19,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Na誰ve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.54,0.88,0.84,0.43
Decision Tree,Single-Model,All Features,Decision Tree,0.83,0.85,0.81,0.53,0.88,0.82,0.38,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':4,'random_state':42}",,,,0.01,0.76,0.75,0.77,0.46,0.84,0.77,0.33
Na誰ve Bayes,Single-Model,All Features,Na誰ve Bayes,0.8,0.74,0.86,0.53,0.9,0.84,0.41,GaussianNB,{},,,,0.01,0.78,0.68,0.89,0.56,0.88,0.86,0.47
k-NN,Single-Model,All Features,k-NN,0.68,0.4,0.96,0.48,0.81,0.9,0.59,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':3,'weights':'uniform'}",,,,0.03,0.65,0.33,0.96,0.42,0.76,0.88,0.58
